ID	X	Y	Length	GC	Coverage	ORFs	SSUs	Reads	Classified	Organism	CONCOCT	MaxBin	MetaBAT	Phylum	Class	Order	Family	Genus	Virulence	Resistance	Plasmid	Virus
0	-32.776494	-12.424957	583664	46.38	43.522	511	0	179907	97.524	Roseburia sp. CAG:471	C26	A11	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	VFG013286,VFG005316,VFG002182,VFG013368	RF0142:4,RF0148:3,RF0063,RF0007,RF0024,RF0139	139274,110567,115548,126324,128524,28076	NP_268232,YP_008438547,YP_009002822,YP_009003341,YP_009012397
1	21.242308	-14.888694	474047	55.55	56.066	409	0	184149	98.187	Bifidobacterium	C28	A8	B6	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	VFG001826,VFG041304	RF0142:2,RF0024:2,RF0148	110567,145094,142742	NP_417179,YP_009124151,YP_009218270,YP_009218288
2	21.287486	-14.81176	397722	56.94	69.455	339	0	191100	99.95	Bifidobacterium	C28	A8	B6	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	VFG006717	RF0024,RF0144,RF0165,RF0139	138438,154803	YP_001285862
3	-32.794384	-12.443603	324185	46.53	48.586	296	0	111541	91.904	Roseburia sp. CAG:471	C26	A7	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		VFG000080,VFG000077	RF0142:3	139291,19088,126814,139406	NP_286654,YP_009015561
4	-32.586905	-12.09509	280193	44.52	53.077	285	1	105214	73.777	Roseburia sp. CAG:471	C26	A7	B7						VFG001855,VFG005313	RF0142:2,RF0165,RF0144	13688,114667	YP_007354398,YP_009015381,YP_009206301,YP_398605,YP_398606,YP_950598
5	22.518421	-13.878541	262552	60.28	30.59	218	0	55771	99.686	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		RF0065,RF0142,RF0144	154803:2,142501,135394	YP_001294783
6	16.939127	20.081205	240856	34.59	30.89	236	0	51474	4.379	Turicibacter	C5	A10	B14						VFG002190	RF0148	132147	YP_004306103,YP_004306104,YP_004306105,YP_004306106,YP_008058946,YP_008873459,YP_009015393,YP_009015561,YP_025041
7	22.586429	-13.771186	221176	60.65	26.976	177	0	41400	99.867	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		RF0142	126324,123884,123889	YP_009012397
8	-32.685183	-12.242392	211141	44.84	35.893	186	0	53564	95.895	Roseburia sp. CAG:471	C26	A11	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		VFG002162	RF0154,RF0155,RF0024	124192,145640	
9	25.47428	-27.00773	198832	59.72	174.025	170	0	241159	91.508	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	VFG000079,VFG001855,VFG013265	RF0007	135984:2,135989,123884,135985	YP_004306459
