	UMAP1	UMAP2
k141_8010	5.7554445	5.638413
k141_20025	7.6073246	7.6625133
k141_12015	3.052497	3.3185592
k141_4005	6.7892184	5.359604
k141_24031	2.6748872	3.5651698
k141_12017	6.326447	3.4175882
k141_20028	6.0130353	14.728633
k141_4007	2.4363558	4.261741
k141_28038	2.4574778	4.923875
k141_16022	8.427129	5.492717
k141_12018	7.7711797	7.3696003
k141_9	5.2260637	3.1792152
k141_16024	5.934165	-5.679015
k141_28041	2.4548385	4.796032
k141_10	7.154436	2.2121036
k141_28042	2.552797	4.3573675
k141_11	1.6762817	4.1587734
k141_12020	-1.9287701	4.0354543
k141_24033	8.252498	1.7990326
k141_28043	0.29652897	6.054231
k141_28044	6.872134	7.1214113
k141_20037	2.804596	4.307414
k141_15	4.596788	16.744108
k141_28045	0.91754985	4.9938874
k141_16	4.9136076	3.2149043
k141_20039	7.067408	4.301208
k141_8013	3.9208364	3.5174766
k141_12022	7.7506866	1.9661497
k141_24034	7.6234307	6.081319
k141_4021	8.201382	7.3361125
k141_20040	-0.43496686	4.847766
k141_12023	4.876608	16.276474
k141_17	7.1327887	3.8467975
k141_8015	5.323833	5.4187045
k141_20041	7.473477	7.746315
k141_4024	6.973393	7.016129
k141_24035	4.2967086	4.232183
k141_28051	-1.6327982	4.053068
k141_22	7.651387	1.5100131
k141_8018	-1.6612183	4.030724
k141_20042	1.7997952	4.2365165
k141_28052	4.5520635	3.7009654
k141_24036	6.953155	4.717119
k141_12025	6.034139	5.3882804
k141_20043	7.3274326	1.9319094
k141_24037	6.2824607	6.3289185
k141_20044	6.1011815	-6.274163
k141_8024	11.336314	2.8536754
k141_24038	5.566866	-4.318757
k141_28060	7.0047345	1.8362911
k141_31	-1.9131441	4.3877354
k141_28064	6.4027553	5.9578867
k141_20053	5.9299564	4.793277
k141_4026	6.9940906	3.8323238
k141_28065	4.186092	3.4400952
k141_35	-1.4846017	4.1046047
k141_8028	8.4169445	1.8417944
k141_24042	4.7663608	4.835629
k141_20055	5.3894486	4.7246184
k141_36	-1.1217887	4.14295
k141_20058	4.680775	16.643612
k141_38	4.3586884	17.043955
k141_8030	8.367953	5.485367
k141_20060	7.6788692	8.121553
k141_8031	5.4837756	16.126465
k141_12029	9.289808	5.264865
k141_4028	7.366168	4.9267306
k141_24047	7.4531817	5.2744303
k141_24050	-1.0089185	4.291567
k141_20061	9.328546	5.2886944
k141_44	5.1464067	16.85995
k141_28074	5.24776	17.193064
k141_4035	-0.84595764	4.486024
k141_20062	1.308866	4.672922
k141_24051	5.5192766	16.212952
k141_8033	5.8382688	-6.799878
k141_12033	5.9389586	-5.528531
k141_20065	7.4237313	7.486084
k141_8039	5.9737034	4.378451
k141_24060	-1.6429782	3.7915223
k141_12037	-2.0386364	3.9356935
k141_28077	-2.0361233	4.304791
k141_24061	6.3003445	5.377041
k141_20066	5.678115	-6.207937
k141_24064	8.475009	7.605681
k141_28089	6.0020714	4.127289
k141_20072	4.676668	4.948891
k141_28090	4.8658423	16.635666
k141_20073	7.9060106	8.363212
k141_24071	7.828821	6.8802013
k141_4037	9.336856	5.321609
k141_20074	-1.6265525	4.2432685
k141_24072	7.7887177	7.533749
k141_28092	4.136444	3.5501444
k141_47	9.297843	5.390117
k141_8044	2.244657	5.1910434
k141_12039	3.5326104	5.541194
k141_16025	8.276237	15.130985
k141_4038	7.337783	2.0941381
k141_24073	5.121781	5.994591
k141_4039	7.971095	5.6386614
k141_12041	5.9628606	14.8133135
k141_20076	5.800767	4.7009115
k141_8047	7.591644	8.150017
k141_28095	7.276176	7.380119
k141_16026	7.815458	1.0678416
k141_48	8.412117	1.6483252
k141_20077	3.8100388	4.2284536
k141_28096	7.0155935	3.8544998
k141_4041	5.337221	16.751703
k141_28097	6.4413247	14.921246
k141_4042	7.723022	7.843867
k141_50	7.354257	1.9552635
k141_8048	6.9679976	1.9506874
k141_51	-1.4521222	3.9658241
k141_24074	-0.2252669	4.239495
k141_8049	1.2091553	4.8204355
k141_12050	8.5981455	1.5551798
k141_52	7.427342	0.8448845
k141_20082	5.413352	16.282494
k141_24075	6.736978	1.5529938
k141_8050	5.064871	16.818312
k141_20084	5.6360545	14.938567
k141_24077	2.778556	5.075416
k141_4045	9.195271	5.483223
k141_12053	3.5070913	3.967455
k141_8054	1.5324874	4.845286
k141_20086	6.9275208	4.065857
k141_54	-2.0003552	4.4946327
k141_24081	2.0770986	4.9094443
k141_20088	-0.7660351	4.6978884
k141_12056	7.4395723	-6.000781
k141_4046	8.831454	1.2940078
k141_20089	6.9660077	2.2175813
k141_28102	8.162701	6.126642
k141_8061	-0.80815935	4.3648276
k141_12058	7.0006547	2.2106242
k141_20090	5.901823	5.5153947
k141_59	1.0321066	4.87771
k141_28104	6.4251738	14.349761
k141_60	6.2531075	5.0085316
k141_24086	5.2718997	14.956924
k141_4050	4.3215446	5.0294785
k141_28108	6.0995383	14.554902
k141_28109	5.229432	14.908131
k141_4051	5.8845873	2.830641
k141_8066	8.837889	1.3566378
k141_62	4.6306505	17.380177
k141_24087	8.407481	2.0327032
k141_8069	5.928981	5.5765004
k141_24088	6.8720694	4.3199677
k141_20092	5.713517	-6.3707814
k141_8072	3.7607312	3.2170837
k141_28117	0.5112385	5.743363
k141_4053	5.0662236	3.0795565
k141_24093	5.883905	6.2715483
k141_12061	8.337658	6.3670125
k141_8074	6.043866	5.4987617
k141_28118	6.115183	6.1701183
k141_12062	0.7091628	4.329687
k141_8075	1.3663701	4.836149
k141_4055	3.7839847	4.914585
k141_65	7.526923	5.9085813
k141_28119	0.28223073	6.014107
k141_24095	3.3452988	5.0592356
k141_4056	4.8510756	5.7393074
k141_20096	-1.3746003	4.226227
k141_20098	0.2390252	5.907804
k141_28122	4.0083575	4.780648
k141_70	6.286624	6.2575016
k141_28123	4.1666493	17.167633
k141_28125	5.7304125	14.867514
k141_12071	8.462518	1.8383112
k141_8086	8.857625	1.5627397
k141_12072	5.4804983	4.765017
k141_28127	-1.1009271	4.2068048
k141_8088	6.3897676	14.673796
k141_24100	7.7567	5.76513
k141_4068	-1.0525204	4.4611406
k141_12074	6.2826905	14.267307
k141_73	5.169772	17.308748
k141_8089	5.4218245	3.2456963
k141_24102	4.2524962	5.3836074
k141_4069	5.7118206	-5.171523
k141_8091	6.0544906	-5.3322225
k141_20105	5.680868	-6.3653207
k141_28132	0.7690549	5.54114
k141_12078	7.4117417	-5.872244
k141_4070	3.1816685	3.8042424
k141_28133	1.1506839	5.2170706
k141_78	1.1628191	5.265894
k141_8093	5.9288464	-5.6382895
k141_79	-0.3845496	4.8886266
