id	x	y	length	gc	coverage	orfs	ssus	mapped	taxon|d	phylum	class	order	family	genus	virulence	resistance	plasmid	virus
18	6.259677	5.702276	153774	41.43	856.977	196	0	0.07	Bacteria									YP_006560672,YP_398573
45	21.600085	-14.832082	98533	57.07	29.005	117	0	86.04	Bifidobacterium longum	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium			146937,146934	YP_004306251,YP_004957628
69	25.478767	-26.985218	81114	59.12	150.640	69	0	90.58	Collinsella	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella				
83	-8.631061	20.878683	71697	39.13	87.254	101	0	98.74	Bacteroides	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides				YP_008241225,YP_112541
97	-32.802353	-12.373096	67824	45.20	36.736	76	0	99.36	Roseburia sp. CAG:471	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia		RF0148		YP_008060662
98	-8.969817	22.807419	68726	36.17	48.544	53	0	31.40	Eubacterium								122799	
189	-25.602258	-5.475409	49493	45.52	41.928	35	0	99.56	Blautia sp. KLE 1732	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia			124192	
191	-7.263027	-35.372300	49403	52.32	47.328	46	0	99.93	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia		RF0007,RF0017,RF0164	120670,15925,21833,26567,25605	
208	4.419285	-30.023037	47392	58.01	34.136	41	0	19.50	Subdoligranulum									
220	-25.739350	-5.074038	45843	44.58	26.160	42	0	99.82	Blautia sp. KLE 1732	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia			128524	YP_398605,YP_398606
224	-5.082727	24.164556	45339	33.81	38.547	37	0	18.19	Eubacterium						VFG000963,VFG002225,VFG002364			NP_048965,YP_007674419,YP_007674420,YP_009216894
239	31.137627	-13.798488	43698	65.14	32.879	45	0	84.02	Actinomyces	Actinobacteria							120647	
294	-11.083829	22.053697	38639	39.01	82.789	32	0	98.99	Eubacterium	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		RF0148	142485,115548	
334	16.748254	20.176887	35213	33.77	35.387	37	0	3.13	Turicibacter									
369	-25.482878	-5.364959	32820	45.60	42.855	31	1	98.61	Clostridiales	Firmicutes	Clostridia	Clostridiales				RF0142		YP_004306889,YP_004306890
380	-23.960811	1.989051	32139	43.00	24.660	33	0	26.80	Clostridiales									
391	32.578671	-12.217472	31593	67.45	24.582	30	0	56.49	Actinomyces								145094	
399	-26.368546	11.769434	31035	39.13	78.259	18	0	39.03	Clostridiales						VFG042870			
401	-7.793000	-34.202928	31004	51.54	36.829	33	0	99.97	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia			131779	NP_042036,NP_042037,NP_042038,NP_042039,NP_042040,NP_042041,NP_042042,NP_042043
410	4.817067	-33.681487	39535	61.05	25.179	33	0	11.45	Ruminococcaceae							RF0142	22676	
414	4.613641	-33.587128	30333	61.09	20.347	34	0	4.11	Ruminococcaceae									
423	35.092597	-25.214031	29314	64.86	17.726	24	0	97.78	Adlercreutzia equolifaciens	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia				
433	-11.279628	22.836326	28868	38.61	123.138	24	0	99.99	Eubacterium	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium			146204	
