	tSNE1	tSNE2
k141_8010	16.849169	12.612732
k141_20025	29.969587	39.30681
k141_12015	-17.500399	-23.074963
k141_4005	0.5584296	26.319021
k141_24031	-13.490402	-24.048107
k141_12017	-3.3530273	17.097424
k141_20028	-25.287493	-57.555912
k141_4007	-11.111013	-25.51148
k141_28038	6.0470467	-28.854551
k141_16022	49.041176	9.092933
k141_12018	34.091522	33.76214
k141_9	-17.455294	3.1227639
k141_16024	-11.63109	59.4866
k141_28041	3.3701227	-26.87574
k141_10	-29.637852	17.992168
k141_28042	-5.2712903	-19.566647
k141_11	-8.810621	-32.158054
k141_12020	32.867565	-49.205395
k141_24033	-40.58713	17.404907
k141_28043	-10.054627	-55.2318
k141_28044	30.69089	31.268215
k141_20037	3.9795263	-16.37581
k141_15	-42.49652	-34.5407
k141_28045	2.6545172	-46.061485
k141_16	-14.110844	1.4669054
k141_20039	-1.6820549	28.173595
k141_8013	-5.796973	-2.7464252
k141_12022	-45.360435	16.263588
k141_24034	37.63407	15.633162
k141_4021	42.196564	32.468277
k141_20040	12.6079445	-50.648376
k141_12023	-38.33613	-35.79841
k141_17	-11.657825	26.592627
k141_8015	16.935375	8.072702
k141_20041	25.585854	41.17561
k141_4024	19.364386	37.55668
k141_24035	-2.691939	-3.2080884
k141_28051	30.96216	-46.494606
k141_22	-40.409496	4.628191
k141_8018	28.074572	-46.371243
k141_20042	-12.966262	-29.07549
k141_28052	-3.8119755	0.87627614
k141_24036	2.706567	25.7862
k141_12025	23.107101	12.393823
k141_20043	-37.380024	10.595729
k141_24037	25.44315	16.940556
k141_20044	-15.704498	66.44153
k141_8024	-29.60585	-18.298422
k141_24038	-23.031935	-14.509681
k141_28060	-22.480036	23.302137
k141_31	27.367088	-51.297066
k141_28064	16.376009	17.135057
k141_20053	8.977586	11.581345
k141_4026	-9.6660185	25.577446
k141_28065	-12.328343	-3.1476123
k141_35	25.137028	-46.385067
k141_8028	-44.55949	22.373022
k141_24042	22.880577	-3.1380718
k141_20055	16.189346	1.4088767
k141_36	25.2939	-40.81519
k141_20058	-40.13608	-34.974445
k141_38	-48.195843	-26.471584
k141_8030	50.46723	10.224494
k141_20060	29.550282	44.621525
k141_8031	-41.21807	-47.18325
k141_12029	53.809345	4.06265
k141_4028	0.53814006	28.724285
k141_24047	35.82928	9.280083
k141_24050	19.241926	-42.933254
k141_20061	54.397724	3.2504923
k141_44	-44.661575	-39.7447
k141_28074	-53.90848	-39.309135
k141_4035	15.726023	-48.190125
k141_20062	-3.6367114	-36.454865
k141_24051	-43.547832	-46.220303
k141_8033	-22.483667	65.144806
k141_12033	-11.315155	53.359436
k141_20065	30.63787	32.64006
k141_8039	0.922748	14.162893
k141_24060	31.247892	-40.807148
k141_12037	38.060333	-47.1762
k141_28077	32.049656	-51.08036
k141_24061	39.769184	4.910732
k141_20066	-17.18652	59.994053
k141_24064	40.553032	36.552433
k141_28089	0.595625	17.04855
k141_20072	11.586313	1.0125268
k141_28090	-41.872074	-38.13696
k141_20073	31.97283	48.467014
k141_24071	35.148815	29.641783
k141_4037	54.67607	4.510573
k141_20074	30.069872	-47.8255
k141_24072	31.687948	39.744083
k141_28092	-12.534594	-6.606159
k141_47	54.68887	6.1712165
k141_8044	8.330524	-31.116732
k141_12039	17.574844	-18.453863
