ID	length	GC	coverage
k141_9	1006	53.38	21.2396
k141_10	1449	57.07	4.00069
k141_11	1041	46.11	4.58213
k141_15	1475	40.00	5.15186
k141_16	1277	52.31	5.96789
k141_17	1765	60.06	21.928
k141_22	1197	61.32	6.10109
k141_31	3201	43.39	4.84442
k141_35	1381	43.08	2.92107
k141_36	1710	43.57	4.54327
k141_38	1079	38.18	5.25301
k141_44	3911	37.59	5.52161
k141_47	18981	60.51	16.1446
k141_48	3206	59.08	5.66157
k141_50	2683	55.91	6.77413
k141_51	1196	44.90	3.11789
k141_52	1459	60.45	5.51679
k141_54	4124	46.68	4.0468
k141_59	1640	42.32	5.17561
k141_60	1404	54.13	8.67806
k141_62	3857	40.39	7.07234
k141_65	5197	53.55	8.12738
k141_70	1870	53.80	4.15294
k141_73	5491	40.21	6.18048
k141_78	2512	42.36	5.63217
k141_79	1225	37.22	4.49959
k141_81	2409	60.07	6.57659
k141_91	5391	66.33	6.61065
k141_93	1335	38.88	3.26966
k141_95	10153	29.43	13.0907
k141_98	1002	43.91	2.61876
k141_102	2127	59.43	7.27362
k141_104	1081	46.81	7.96577
k141_110	4195	46.70	20.7359
k141_112	1427	57.88	4.48143
k141_113	1593	54.68	5.23603
k141_120	1114	63.46	6.80969
k141_124	4349	51.71	8.30283
k141_125	1501	53.43	4.25383
k141_126	3333	44.76	7.36544
k141_127	3168	50.98	5.11521
k141_128	2583	43.40	5.43748
k141_131	1116	44.44	4.68907
k141_140	1022	39.14	2.18689
k141_141	1057	44.94	7.62914
k141_142	1289	52.52	4.59271
k141_144	2614	51.26	5.1951
k141_146	2992	49.50	7.56785
k141_148	104546	34.98	15.0977
k141_151	11045	59.23	17.8455
k141_152	1997	44.37	4.77366
k141_171	1207	50.79	4.1193
k141_173	2282	39.48	7.28659
k141_174	1096	53.10	5.98175
k141_176	2782	45.97	4.76024
k141_181	2784	44.40	5.34986
k141_182	2310	55.76	5.72597
k141_184	2728	51.28	5.41862
k141_186	1940	42.22	4.30103
k141_190	2839	43.82	7.34132
k141_193	1877	43.85	5.08098
k141_196	1856	44.40	4.7597
k141_199	2463	50.67	4.89566
k141_203	1596	47.18	5.48183
k141_205	1126	56.93	3.43606
k141_206	4001	55.69	17.7223
k141_210	2267	58.76	7.33436
k141_219	1061	47.03	3.33176
k141_222	1070	48.13	4.72523
k141_230	1166	41.17	5.61235
k141_231	1289	54.69	4.03879
k141_232	5354	41.69	7.18099
k141_233	1630	55.71	3.11534
k141_234	17934	28.79	45.7342
k141_236	2422	50.54	4.87077
k141_240	1478	42.96	6.45602
k141_241	1026	56.04	43.8489
k141_242	2980	51.34	5.81208
k141_244	1114	42.82	2.28097
k141_247	6466	59.59	6.66548
k141_250	1149	43.86	4.29417
k141_253	4242	49.32	12.5087
k141_255	4716	51.17	11.0371
k141_257	3270	30.73	5.0422
k141_260	2782	40.04	4.25988
k141_261	3136	42.28	6.90721
k141_262	5557	58.90	15.6396
k141_264	1734	35.01	51.3656
k141_269	155758	33.29	13.868
k141_271	4307	40.89	6.43069
k141_273	2373	54.15	6.47113
k141_276	3660	60.82	6.17705
k141_277	1064	48.78	4.20019
k141_280	1254	61.88	4.39314
k141_290	2481	56.63	6.21161
k141_291	1452	53.79	3.17769
k141_293	3531	42.03	6.58057
k141_304	6677	54.96	11.3283
k141_309	2163	50.72	4.53907
k141_310	2601	33.41	7.91926
k141_313	9106	57.90	8.84878
k141_316	1541	58.08	9.00065
k141_318	1591	53.05	3.94532
k141_319	26073	58.75	15.4257
k141_321	1896	49.58	10.6624
